         Name: Bhageria, Yadu
          CID: 00733164
  Course Code: M3SC
Email Address: yrb13@ic.ac.uk
         Time: 20:47:54 
         Date: Mar  8 2016 
 
    b ,  case ,      t[1] ,      t[2] ,      t[3] ,      t[4] ,    phi[1] ,    phi[2] ,    phi[3] ,    phi[4]
 0.05 ,     4 ,    0.6812 ,   -0.0201 ,   -0.6652 , -109.7959 ,   68.5259 ,   -2.3028 ,  -67.2668 , -178.9564
 0.10 ,     4 ,    0.6865 ,   -0.0408 ,   -0.6540 ,  -54.5918 ,   68.9403 ,   -4.6729 ,  -66.3663 , -177.9012
 0.15 ,     4 ,    0.6903 ,   -0.0628 ,   -0.6398 ,  -36.0543 ,   69.2348 ,   -7.1864 ,  -65.2259 , -176.8225
 0.20 ,     4 ,    0.6927 ,   -0.0870 ,   -0.6221 ,  -26.6836 ,   69.4201 ,   -9.9406 ,  -63.7720 , -175.7076
 0.25 ,     4 ,    0.6938 ,   -0.1146 ,   -0.5995 ,  -20.9797 ,   69.5031 ,  -13.0756 ,  -61.8854 , -174.5421
 0.30 ,     4 ,    0.6936 ,   -0.1479 ,   -0.5698 ,  -17.1092 ,   69.4872 ,  -16.8248 ,  -59.3524 , -173.3099
 0.35 ,     4 ,    0.6921 ,   -0.1914 ,   -0.5285 ,  -14.2865 ,   69.3730 ,  -21.6666 ,  -55.7143 , -171.9921
 0.40 ,     4 ,    0.6893 ,   -0.2600 ,   -0.4604 ,  -12.1189 ,   69.1583 ,  -29.1474 ,  -49.4452 , -170.5658
 0.45 ,     2 ,    0.6852 ,  -10.3883 ,           ,           ,   68.8381 , -169.0031 ,
 0.50 ,     2 ,    0.6797 ,   -8.9641 ,           ,           ,   68.4044 , -167.2692 ,
 0.55 ,     2 ,    0.6725 ,   -7.7632 ,           ,           ,   67.8456 , -165.3200 ,
 0.60 ,     2 ,    0.6637 ,   -6.7310 ,           ,           ,   67.1464 , -163.0991 ,
 0.65 ,     2 ,    0.6530 ,   -5.8299 ,           ,           ,   66.2869 , -160.5337 ,
 0.70 ,     2 ,    0.6400 ,   -5.0345 ,           ,           ,   65.2415 , -157.5314 ,
 0.75 ,     2 ,    0.6246 ,   -4.3279 ,           ,           ,   63.9791 , -153.9791 ,
 0.80 ,     2 ,    0.6064 ,   -3.7002 ,           ,           ,   62.4624 , -149.7537 ,
 0.85 ,     2 ,    0.5849 ,   -3.1489 ,           ,           ,   60.6501 , -144.7632 ,
 0.90 ,     2 ,    0.5601 ,   -2.6778 ,           ,           ,   58.5026 , -139.0453 ,
 0.95 ,     2 ,    0.5316 ,   -2.2943 ,           ,           ,   55.9935 , -132.8981 ,
